BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
<43, -34438/297>, <44, 956833/792>, <45, 1553/36>, <46, -38527/132>, <47, 
-1894777/52272>, <48, -376493/2178>, <49, 34021/2904>, <50, 3637/88>, <51, 
-61884155/4752>, <52, 34696349/9504>, <53, 149137/48>, <54, -1392565/1584>, <55,
-1754629/594>, <56, 16396379/17424>, <57, 23660/33>, <58, -3728107/17424>, <59, 
-932875/4356>, <60, 12587/242>, <61, -2625/484>, <62, 386/363>, <63, 
6087457/2904>, <64, -4181239/8712>, <65, 94284305/52272>, <66, -73263/176>, <67,
-71383867/104544>, <68, -12566317/11616>, <69, 2988877/17424>, <70, 
3960563/17424>, <71, 130120729/34848>, <72, -6087457/2904>, <73, 
-15476321/17424>, <74, 4181239/8712>, <75, 133345/1056>, <76, 86157263/52272>, 
<77, -406121/17424>, <78, -159222433/104544>, <79, -5717741/9504>, <80, 
-1703059/4356>, <81, 6664199/17424>, <82, 1001531/8712>, <83, 4607857/6534>, 
<84, -375899/2178>, <85, -5447103/1936>, <86, 1864217/2904>, <87, 
-31144153/104544>, <88, 506287/8712> ]
FORMC 11 [ <1, 591/242>, <2, -101/242>, <3, -81/484>, <4, -115/484>, <89, 
-15/121>, <90, 12/121>, <5, 85/11>, <6, 2755/66>, <7, -2537/99>, <8, 13093/44>, 
<9, 313/66>, <10, -22585/44>, <91, 221/132>, <11, 28889/132>, <92, -50/33>, <12,
-967/33>, <93, -1171/44>, <94, 1233/44>, <13, -195/484>, <14, 40/121>, <95, 
-13/484>, <15, -7003/484>, <16, 3257/484>, <96, -49/242>, <17, 7206/11>, <18, 
21529/198>, <19, 505/44>, <97, -1418/33>, <20, 8363/198>, <21, 36887/24>, <98, 
-985/132>, <22, 159515/792>, <99, -22243/264>, <23, -18651/242>, <24, 
-628053/968>, <25, -1706/1089>, <26, -349271/2904>, <100, 499/726>, <101, 
45977/968>, <27, -474385/396>, <28, -775615/264>, <29, -15029/132>, <30, 
-49011/88>, <31, 2529203/264>, <32, 185865/44>, <102, 4999/132>, <103, 
16371/88>, <33, 138213/88>, <34, 7972/33>, <104, -50487/88>, <105, -177/4>, <35,
13771/484>, <36, -4603/242>, <106, 4527/484>, <37, 116737/121>, <38, 20729/242>,
<107, -2155/44>, <39, -855313/792>, <40, 621997/2376>, <41, -885281/352>, <108, 
-102121/792>, <42, -1421231/3168>, <43, -76651/33>, <44, 6050223/88>, <109, 
44047/352>, <45, 59815/36>, <46, -505547/792>, <110, -72683/99>, <111, 
147615/88>, <47, -1941073/1584>, <48, -7239437/726>, <49, 16366153/52272>, <50, 
419797/8712>, <112, -915809/5808>, <51, -12030109/16>, <52, 660470623/3168>, 
<113, -27059/121>, <53, 853910/297>, <54, -5159939/3168>, <55, -99268055/594>, 
<56, 332886157/5808>, <114, -26458991/1584>, <115, 15778327/3168>, <57, 
