AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 172 [ -174, 89, -1, 57, 56, -29, -27, 1, 0, 57, -28, 0 ]
MONO 173 [ -173, 85, 2, 55, 55, -24, -25, -2, -1, 57, -29, 1 ]
MONO 174 [ -173, 86, 0, 55, 55, -25, -26, 0, 1, 57, -28, -1 ]
MONO 175 [ -173, 86, 0, 55, 56, -25, -26, 0, 0, 58, -28, -2 ]
MONO 176 [ -173, 86, 0, 57, 53, -29, -20, 2, -3, 57, -26, -3 ]
MONO 177 [ -173, 86, 1, 55, 55, -22, -25, -2, -1, 57, -28, -2 ]
MONO 178 [ -173, 86, 1, 56, 56, -26, -27, -1, 0, 55, -22, -4 ]
MONO 179 [ -173, 86, 1, 56, 57, -29, -28, 4, 0, 56, -26, -3 ]
MONO 180 [ -173, 86, 1, 56, 57, -27, -30, 0, 4, 56, -26, -3 ]
MONO 181 [ -173, 86, 1, 56, 57, -27, -28, 0, 0, 56, -28, 1 ]
MONO 182 [ -173, 86, 1, 56, 57, -26, -28, -1, 2, 56, -27, -2 ]
MONO 183 [ -173, 86, 1, 57, 55, -29, -25, 1, -1, 59, -27, -3 ]
MONO 184 [ -173, 86, 1, 57, 58, -29, -29, 1, 0, 54, -23, -2 ]
MONO 185 [ -173, 86, 1, 57, 59, -29, -27, 1, -1, 55, -25, -3 ]
MONO 186 [ -173, 86, 1, 58, 55, -29, -25, 0, -1, 56, -27, 0 ]
MONO 187 [ -173, 87, 0, 56, 56, -27, -24, 0, -1, 55, -25, -3 ]
MONO 188 [ -173, 87, 0, 56, 57, -27, -29, 0, 1, 56, -26, -1 ]
MONO 189 [ -173, 87, 0, 56, 57, -25, -28, 0, 0, 56, -27, -2 ]
MONO 190 [ -173, 87, 0, 57, 56, -29, -29, 1, 2, 60, -28, -3 ]
