AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 96 [ 0, -1, -1, 2, 0, 3, 0, 0, -2, 1, -1, 0, 1, -2, 1, 1, -3, 2, -3, 5, 0, 5, 7, -14 ]
MONO 97 [ 0, -1, 0, 2, -1, -1, 0, 2, 2, 0, 0, 0, -1, 0, -2, 0, 0, 4, -5, 4, 0, 10, 12, -24 ]
MONO 98 [ 0, -1, 0, 2, -1, -1, 1, 2, 2, 0, 1, -1, -2, -1, -1, -1, 1, 3, -3, 4, 2, 8, 10, -23 ]
MONO 99 [ 0, -1, 0, 2, -1, 0, -2, 1, 1, 5, 1, -1, 1, -3, 0, 2, -5, 3, -6, 7, -1,9, 13, -24 ]
MONO 100 [ 0, -1, 0, 2, -1, 0, 0, 2, 0, 0, 0, 0, -1, 0, -1, 0, 1, 2, -3, 2, 0, 6, 7, -14 ]
MONO 101 [ 0, -1, 0, 2, -1, 0, 1, 2, 0, 0, 1, -1, -2, -1, 0, -1, 2, 1, -1, 2, 2,4, 5, -13 ]
MONO 102 [ 0, -1, 0, 2, -1, 1, -2, 1, -1, 5, 1, -1, 1, -3, 1, 2, -4, 1, -4, 5, -1, 5, 8, -14 ]
MONO 103 [ 0, -1, 0, 2, 0, -2, 0, 1, 4, 0, 0, -2, 0, 0, -3, 0, -2, 6, -5, 4, -2,10, 17, -26 ]
MONO 104 [ 0, -1, 0, 2, 0, -1, 0, 1, 2, 0, 0, -2, 0, 0, -2, 0, -1, 4, -3, 2, -2,6, 12, -16 ]
MONO 105 [ 0, -1, 0, 2, 0, -1, 1, 0, 3, 0, 0, -1, 0, -1, -1, 0, -3, 4, -4, 5, -1, 9, 15, -25 ]
MONO 106 [ 0, -1, 0, 2, 0, 0, 1, 0, 1, 0, 0, -1, 0, -1, 0, 0, -2, 2, -2, 3, -1, 5, 10, -15 ]
MONO 107 [ 0, -1, 0, 2, 0, 0, 1, 1, 1, 0, 1, -2, -1, -1, -4, -1, -1, 7, -2, 5, 0, 8, 12, -24 ]
MONO 108 [ 0, -1, 0, 2, 0, 1, 1, 1, -1, 0, 1, -2, -1, -1, -3, -1, 0, 5, 0, 3, 0,4, 7, -14 ]
MONO 109 [ 0, 0, -1, 1, 0, 1, -1, 2, 1, 3, 1, -2, 2, -2, -4, 0, -5, 6, -5, 6, -1, 9, 15, -25 ]
MONO 110 [ 0, 0, -1, 1, 0, 2, -1, 2, -1, 3, 1, -2, 2, -2, -3, 0, -4, 4, -3, 4, -1, 5, 10, -15 ]
MONO 111 [ 0, 0, 0, 0, 0, -1, -2, 0, 2, 6, 0, 0, 1, -3, -2, 3, -3, 4, -8, 5, -2,11, 15, -25 ]
MONO 112 [ 0, 0, 0, 0, 0, -1, -2, 0, 2, 7, 0, 0, -1, -4, -2, 0, -2, 4, -5, 6, 1,9, 14, -25 ]
MONO 113 [ 0, 0, 0, 0, 0, -1, -2, 0, 2, 7, 0, 0, 0, -3, -2, 1, -4, 4, -5, 6, 1, 9, 12, -24 ]
MONO 114 [ 0, 0, 0, 0, 0, -1, -2, 0, 2, 7, 0, 0, 1, -4, -2, 0, -5, 4, -1, 7, -1,7, 13, -24 ]
MONO 115 [ 0, 0, 0, 0, 0, -1, -1, 0, 2, -1, 0, 0, 1, 3, -2, 3, -2, 4, -6, 4, -1,9, 13, -24 ]
MONO 116 [ 0, 0, 0, 0, 0, -1, -1, 0, 2, -1, 0, 0, 2, 1, -2, 1, 0, 4, -2, 3, 0, 7, 11, -23 ]
MONO 117 [ 0, 0, 0, 0, 0, -1, -1, 0, 2, 0, 0, 0, 2, 0, -2, 1, -2, 4, -4, 5, 0, 9, 12, -24 ]
MONO 118 [ 0, 0, 0, 0, 0, -1, -1, 0, 2, 1, 0, 0, 0, 0, -2, -1, 1, 4, -1, 3, 0, 7, 13, -24 ]
