[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=1   m=355  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=358  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=360  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=361  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=364  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=366  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=367  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=370  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=373  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=376  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=379  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=382  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=385  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=387  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=388  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=391  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=394  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=397  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=398  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=1   m=400  finite_fail=[ 3 ] arch_fail=false
[SIG] 6 29 sgn=-1  diag=[ 1302, -290/217, 174/5 ] det=-60552 signature=(2,1)
[DIFF] 6 29 sgn=-1  m=2    finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=5    finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=8    finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=11   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=14   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=17   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=18   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=20   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=23   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=26   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=29   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=32   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=34   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=35   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=38   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=41   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=44   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=45   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=47   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=50   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=53   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=56   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=59   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=62   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=65   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=66   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=68   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=71   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=72   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=74   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=77   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=80   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=82   finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=83   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=86   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=89   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=92   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=95   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=98   finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=99   finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=101  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=104  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=107  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=110  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=113  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=114  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=116  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=119  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=122  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=125  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=126  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=128  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=130  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=131  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=134  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=136  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=137  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=140  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=143  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=146  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=149  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=152  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=153  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=155  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=158  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=161  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=162  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=164  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=167  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=170  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=173  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=176  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=178  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=179  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=180  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=182  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=185  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=188  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=191  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=194  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=197  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=200  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=203  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=206  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=207  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=209  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=210  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=212  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=215  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=218  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=221  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=224  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=226  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=227  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=230  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=233  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=234  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=236  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=239  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=242  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=245  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=248  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=251  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=254  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=257  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=258  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=260  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=261  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=263  finite_fail=[ 3 ] arch_fail=false
