[DIFF] 10 13 sgn=-1  m=273  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=274  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=277  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=278  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=282  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=283  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=287  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=288  finite_fail=[ 2, 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=290  finite_fail=[ 2 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=292  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=293  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=297  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=298  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=300  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=302  finite_fail=[ 5 ] arch_fail=false
[DIFF] 10 13 sgn=-1  m=303  finite_fail=[ 5 ] arch_fail=false
